,love,reminiscing,breakups,party,homesick,independence,label_index,label
0,0.05407591229861082,0.09054412596261328,0.0,0.46206919729073515,0.0,0.0,3,party
1,0.02068212995257284,0.0,0.08508058037420872,0.2649467374633295,0.0532031212859065,0.0,2,breakups
2,0.0,0.0,0.693841376618495,0.0,0.0,0.0,2,breakups
3,0.0,0.0325260437898945,0.01711026254679598,0.0,0.0,0.4640835792388012,5,independence
4,0.0,0.1911104422716458,0.08197081601258102,0.07177905071658551,0.061746692379594306,0.14929221545301355,5,independence
5,0.07350725608754076,0.010465980294271529,0.11916088166009707,0.043696417447221504,0.08504087668347537,0.0775395830035007,2,breakups
6,0.04190442416522407,0.11685825391717936,0.0,0.35255970841383144,0.0653111125068701,0.0,3,party
7,0.0,0.0,0.0,0.3425078732527069,0.04918534740983164,0.1748891867301566,5,independence
8,0.03092904413654225,0.2387393740660234,0.041315082674364595,0.0,0.3409781112487492,0.006640179964870564,1,reminiscing
9,0.02569452369782639,0.08982430960210118,0.036882468618921554,0.0,0.41069593303972807,0.027007825355284034,4,homesick
10,0.10970127465600055,0.0,0.040200907884677624,0.19182310941194156,0.0,0.35482230474899207,5,independence
11,0.05383997457352315,0.12257569631108851,0.03183398375619325,0.23190960212671352,0.039115211480832565,0.0,3,party
12,0.0,0.09321145893792326,0.0,0.07445734400503291,0.02373607367238862,0.06857232538643913,1,reminiscing
13,0.0905969152758581,0.15461989900559203,0.009716454040420684,0.14388271209089418,0.0,0.004911232967837179,1,reminiscing
14,0.0,0.0060645635157793275,0.0,0.0,0.5347862967501784,0.0,4,homesick
15,0.12280108258510022,0.1820780629486822,0.034674188813507506,0.04021508003264378,0.040408986088560146,0.011152484806137857,1,reminiscing
16,0.07279809221751639,0.006028252580341656,0.5967546632801138,0.0,0.0,0.0,2,breakups
17,0.02594619094305629,0.0,0.1059292905556246,0.23463742864153497,0.0,0.0,2,breakups
18,0.030221949051678576,0.0,0.005011185291139238,0.0,0.44255648281706583,0.23283554205352228,5,independence
19,0.009221119693501633,0.22213810458429878,0.06735909248057673,0.0,0.17891888144251702,0.1011841844696049,2,breakups
20,0.031419189309040065,0.0,0.0,0.4880014665395089,0.0,0.0,3,party
21,0.032249431325076974,0.043753180067748296,0.0,0.09081780960128484,0.23916802657919622,0.0382156518236914,4,homesick
22,0.3076854599023276,0.0,0.0,0.05407048598709937,0.0,0.07991705005442624,0,love
23,0.0,0.0,0.6902932082119011,0.0,0.0,0.005385349007030193,2,breakups
24,0.05373263397521127,0.07344416670010301,0.0,0.0,0.15048287692953355,0.12167867139138087,4,homesick
25,0.0,0.059526401622121305,0.24044983742588436,0.041291016112052915,0.24507648769472484,0.0,2,breakups
26,0.0956140439261116,0.014010909429819168,0.08769033079505269,0.17569329114233243,0.13831578067499578,0.05539196421823918,4,homesick
27,0.11382786495993782,0.0,0.0,0.17391707315164834,0.08371065002641036,0.04408980085185122,0,love
28,0.026716849368534742,0.10218812073605937,0.1159449268398231,0.0,0.1744302729981704,0.0,2,breakups
29,0.0,0.0,0.0,0.0,0.0,0.6955398083254818,5,independence
30,0.1093733108556068,0.0,0.13548748405294803,0.0,0.12276755084638266,0.213605675343348,4,homesick
31,0.010403769614617262,0.112121177426999,0.0,0.13671976856695375,0.16786959308598354,0.0,4,homesick
32,0.17838824183732843,0.0,0.33330564775148075,0.0,0.04489047065826394,0.054748468926859715,0,love
33,0.0,0.07124989032792611,0.47674519166344237,0.16662158452748976,0.0,0.0,2,breakups
34,0.0,0.2027822149280298,0.0,0.0,0.0,0.47312277421261834,5,independence
35,0.0,0.17262769647691742,0.0,0.1765379229505255,0.1439410817591385,0.08270487122147821,4,homesick
36,0.10287635970260291,0.04486404251460677,0.16375794727076737,0.05112993068552326,0.0,0.03527959815133487,2,breakups
37,0.15474426734754113,0.288031291971739,0.0,0.0,0.0,0.0,0,love
38,0.10441323064543655,0.07595371801281689,0.0,0.24985330713211149,0.012099428453814835,0.0827453615145316,3,party
39,0.0628161486256695,0.12373852139805572,0.0547935238879587,0.0,0.0,0.0,1,reminiscing
40,0.0,0.01261254235160038,0.4520968736512165,0.03437256783946085,0.0,0.13963267178914543,2,breakups
41,0.014511983744476917,0.20699570622126587,0.0,0.2506188391230728,0.16449020564185082,0.0,1,reminiscing
42,0.050385838597192194,0.16636462711635594,0.0,0.13517906582289516,0.010912349361595105,0.0,1,reminiscing
43,0.2579585626648146,0.13773442683750095,0.0,0.025416834024998492,0.07840686893644533,0.0,1,reminiscing
44,0.13925890214467407,0.03358922490088803,0.014524027847450152,0.02630681545250261,0.0,0.00848143878230984,0,love
45,0.16679263165188657,0.09619331432478972,0.07231540701058135,0.05493071761222023,0.05461900423211283,0.034249934461637405,2,breakups
46,0.011486478594067841,0.02131494375787828,0.019617102910523418,0.19283712479982024,0.0,0.21570990492696032,5,independence
47,0.0,0.0,0.0,0.10538342963264898,0.0,0.22182676094074752,5,independence
48,0.31036931282017316,0.01462495993874065,0.0,0.18544332913044648,0.04083837962734854,0.03874603988161494,0,love
49,0.13473138992312983,0.06936780705432162,0.0,0.1467080431079485,0.0426363900215013,0.16704477483610133,5,independence
50,0.0,0.5199287388570688,0.0,0.0,0.0,0.03489183690230153,1,reminiscing
